condition,preset,probe,profile,edge,method,label,mask,member_draws_per_pass,passes,width,height,seed_count,seed_keys,normalized_seed_variance,per_pass_variance_proxy,variance_cost_proxy_ms,ms_per_pass_median,ms_per_pass_min,ms_per_pass_max,estimated_total_render_ms,mean_luminance,seed_luminance_sd,seed_luminance_min,seed_luminance_max,mean_rgb,energy_ratio_to_pooled_mean,pooled_signal_sum_rgb_squared,pooled_mean_luminance,binary_sha256
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",35.60845440333623,36463.0573090163,12589.168413276135,0.3452581692913387,0.31676358267716515,0.364717322834646,353.5443653543308,0.005552400173208388,0.0019407168974021358,0.004109316409026999,0.009224922061567657,"[0.01661142017784887, 0.00265782689395827, 0.001661141950675366]",0.9580308402192046,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,ut,UT plane,1024,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",20.23892114768122,20724.65525522557,7378.212871025858,0.3560113681102365,0.34320383858267733,0.3814917322834649,364.55564094488216,0.0054268601894940025,0.0014913066782471704,0.0037145416230605945,0.007243922528934481,"[0.016235834496239786, 0.002597733571841512, 0.0016235834489246668]",0.9363697256872705,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,vt,VT plane,2048,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.17586622569667218,180.0870151133923,65.95614255618354,0.36624596456692926,0.31863927165354305,0.3848129921259843,375.03586771653556,0.005891174855609772,0.00015316444670760592,0.005710731789585928,0.006095994863748075,"[0.017624949624173828, 0.0028199922075351387, 0.0017624949955855507]",1.0164842267730148,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,sphere,Sphere,128,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",6.9256923610972665,7091.908977763601,2917.9516394388224,0.41144798228346474,0.4032709645669297,0.42614911417322776,421.3227338582679,0.006186276061639184,0.0007365316528047448,0.005542244247566403,0.0076034083374337535,"[0.0185078201786828, 0.002961251438283332, 0.0018507820358860069]",1.067402036646703,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,planes,Three planes,3080,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.1699386536936531,174.01718138230078,85.3546652864662,0.49049562007874004,0.4555523622047236,0.5186443897637797,502.2675149606298,0.005803026854365012,5.8297155769807265e-05,0.005753505918129478,0.005885829335887645,"[0.017361232731831464, 0.002777797366203652, 0.001736123258570209]",1.00127485766024,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.028057725102574753,28.731110505036547,28.338205499217135,0.9863247539370072,0.9226982283464569,1.0082771653543292,1009.9965480314954,0.005758677325104027,7.468754399856778e-05,0.005683667656358835,0.005875544136691485,"[0.017228549927797095, 0.002756568066722461, 0.0017228549741612651]",0.9936226324142566,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.8360003303828457,856.064338312034,482.76897350266944,0.5639400590551186,0.5258253937007877,0.5943763779527562,577.4746204724414,0.0059701052832042,0.00021148932373276082,0.005665940365605386,0.006189070520245101,"[0.017861090358489377, 0.0028577746104536815, 0.0017861090248322811]",1.0301031630002746,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe0-n1024-160x100,82,0,Laser-like,0.5,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.008672118077881057,8.880248911750202,12.068067293274519,1.3589784940944893,1.3224971456692904,1.3821923228346484,1391.593977952757,0.00577658518183987,2.7633202884409246e-05,0.0057389270899578255,0.00581200920609146,"[0.01728212589312603, 0.002765140199634053, 0.0017282125510109892]",0.9967125175990363,230.7066300106025,0.005795638240558057,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",10.655522342576132,10911.25487879796,3875.2379535324135,0.3551596948818897,0.33829212598425173,0.38526437007874,363.68352755905505,0.005983801582368349,0.000496011154857888,0.005387897208888114,0.0066563643569829,"[0.009439453153324636, 0.0054748829290753, 0.0008495508462167123]",1.0124332922237402,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,ut,UT plane,1024,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",19.42240063753814,19888.538252839055,7177.827287615154,0.360902706692913,0.3577117125984249,0.3808987204724406,369.56437165354293,0.006151501304409136,0.0009325067518131761,0.005341993776699921,0.007580637919161306,"[0.009703998730982035, 0.005628320164106771, 0.000873360011539846]",1.040807358334328,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,vt,VT plane,2048,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.12997386669332767,133.09323949396753,49.15318695667624,0.3693139271653547,0.3638010826771659,0.3763851377952756,378.17746141732323,0.00591541052736692,6.491009230837932e-05,0.005824585113916443,0.006015957269271818,"[0.009331566001199543, 0.005412308551030039, 0.0008398409946705483]",1.0008618221439542,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,sphere,Sphere,128,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",3.0296659588924317,3102.37794190585,1314.5370776566374,0.4237191929133857,0.4052399606299208,0.42907391732283506,433.888453543307,0.0057654907936209214,0.0002873679421818147,0.005375896079275889,0.00614881587750855,"[0.009095067509536162, 0.005275139385017156, 0.0008185561347540991]",0.9754960529892736,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,planes,Three planes,3080,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.11684906567568372,119.65344325190013,61.35770274234599,0.5127951279527563,0.49666407480314967,0.5318845472440943,525.1022110236224,0.00584082766874999,5.5729616819739357e-05,0.005770008260343653,0.005916667816413137,"[0.009213911502549715, 0.0053440689077824685, 0.0008292520839597742]",0.9882427257294788,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.05175788435469823,53.00007357921099,53.20921259987052,1.0039460137795273,0.9237699803149598,1.0060974409448817,1028.040718110236,0.005819686478627142,3.026438181041658e-05,0.005776689008617121,0.005868847884621552,"[0.009180561226281582, 0.005324725771439139, 0.0008262505565982495]",0.984665727992677,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.8173354599036505,836.9515109413381,499.6931264445422,0.5970395177165355,0.5744882874015753,0.6219068897637787,611.3684661417324,0.005953968705824087,0.00016396571962339838,0.005675396629532071,0.006175462126781749,"[0.00939239157135536, 0.005447587380297984, 0.0008453152820609695]",1.0073856988166978,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe1-n1024-160x100,82,1,Laser-like,2.0,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.016950581857514642,17.357395822094993,23.935614787170216,1.3789865157480317,1.360574803149608,1.4266702755905518,1412.0821921259844,0.005851848022211841,2.859241843419398e-05,0.005807433138240027,0.005884553758966753,"[0.009231296031778505, 0.0053541520143828, 0.0008308166920931937]",0.99010732176985,28.278720441693807,0.0059103168853972985,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",3.75536946352646,3845.498330651095,1410.0136574438457,0.36666604330708713,0.3313825787401575,0.4016172244094488,375.4660283464572,0.0064819420117799564,0.00024374956578637264,0.006061553847260695,0.006758895039794374,"[0.005800759126596991, 0.007250948550604854, 0.0008701138237236055]",0.9959774436839117,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,ut,UT plane,1024,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",2.3400299130735815,2396.1906309873475,893.4029317306803,0.37284301181102386,0.36078366141732315,0.38537391732283516,381.79124409448843,0.006422552024780633,0.00011482816909737683,0.006283936566904535,0.0065801947925071816,"[0.005747610398033852, 0.00718451263453897, 0.0008621415226638237]",0.9868519243064615,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,vt,VT plane,2048,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.1340306637400809,137.24739966984285,55.47724287076857,0.4042134350393707,0.3652778543307084,0.4167760826771656,413.9145574803156,0.006502843385692546,3.393969013842261e-05,0.006454585388147414,0.00654889685418249,"[0.0058194639707075425, 0.007274329633183402, 0.0008729195549493236]",0.999189027021299,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,sphere,Sphere,128,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",55.95682213817976,57299.785869496074,24355.65184659045,0.4250565944881889,0.4123150590551182,0.4494961614173227,435.2579527559054,0.006736787666639851,0.0008790128428786187,0.006115938632972022,0.008494750914100593,"[0.006028823561701846, 0.0075360285597319086, 0.0009043234280023754]",1.0351355421982196,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,planes,Three planes,3080,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.1034970842075647,105.98101422854626,61.48376405045592,0.5801394192913386,0.5672676181102363,0.6074761811023626,594.0627653543307,0.006447086758539285,2.6660144885030685e-05,0.006402360082537407,0.006473746536484409,"[0.005769566759146735, 0.0072119581382339955, 0.0008654349734028679]",0.9906217885486899,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.2298802498606114,235.39737585726607,236.13580769433634,1.003136958661417,0.9321352362204726,1.0338630905511805,1027.212245669291,0.006488133062082368,4.243460649444821e-05,0.006408257810331746,0.006533291006623211,"[0.005806299533758468, 0.00725787410595747, 0.0008709448839960991]",0.9969287244023612,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.9667648642278455,989.9672209693138,595.365458470337,0.6013991633858266,0.5796251968503942,0.6562738188976368,615.8327433070864,0.006498165695984784,0.00010551671907907326,0.006300364005677105,0.006607362619548415,"[0.005815277926843838, 0.00726909696911097, 0.0008722916402990733]",0.9984702804745053,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
